Cluster,Gmag,SourceId,dec,par,ra,spar
Hyades,13.815,3312882483575093760,16.395770000000002,20.262,67.79635999999999,0.024
Hyades,11.970999999999998,3312960205303089664,16.91392,22.803,67.48274,0.017
Hyades,7.274,3312709379213017728,15.589089999999999,20.951999999999998,66.90002,0.019
Hyades,13.095,3312904233289409152,16.346220000000002,21.362,67.2511,0.016
Hyades,8.853,3312951748510907648,16.67272,21.897,67.49101,0.001
Hyades,4.707,3312849326426255616,16.1939,21.866999999999997,67.64061,0.094
Hyades,14.325999999999999,3312908906213736320,16.24861,18.743,66.9202,0.027999999999999997
Hyades,11.245999999999999,3312842042162993536,15.98148,22.235,67.21905,0.026000000000000002
Hyades,3.307,3312744219987686144,15.87079,20.879,67.16606,0.324
Hyades,10.502,3312921378798754304,16.4708,23.58,67.04581,0.047
Hyades,12.087,47485609397541632,18.26918,23.997,65.6654,0.023
Hyades,7.355,47620265212420096,18.25667,21.583000000000002,64.50816999999999,0.016
Hyades,6.684,47541100375011968,18.41744,20.671999999999997,65.38495,0.042
Hyades,9.599,45567511362945152,16.51868,21.479,61.93055,0.013999999999999999
Hyades,12.684000000000001,45679386670867584,16.25081,28.002,63.09125,0.033
Hyades,7.693,45367056650753280,15.698039999999999,21.003,61.567730000000005,0.021
Hyades,16.304000000000002,45404199528067200,15.80601,21.775,61.0454,0.087
Hyades,15.554,45506454107945344,16.37814,28.771,62.48874,0.111
Hyades,16.192999999999998,3412374060957023232,21.89781,17.078,74.02585,0.034
Hyades,18.766,3412331901556818048,21.66667,20.442,73.99613000000001,0.134
Hyades,16.414,3412367287795107712,22.01735,18.250999999999998,74.36251999999999,0.077
Hyades,15.966,3395180718459278464,17.43158,17.776,78.87819,0.035
Hyades,13.5,3395264423077925632,17.787029999999998,17.570999999999998,78.71419,0.038
Hyades,11.183,3314150048683152896,17.71852,22.271,67.8716,0.031
Hyades,3.4160000000000004,3314024566918614528,17.54239,19.422,65.73421,0.08199999999999999
Hyades,10.607999999999999,3314063908819076352,17.915210000000002,21.340999999999998,66.35478,0.024
Hyades,13.362,3314232855652895104,17.75059,23.245,68.09948,0.013000000000000001
Hyades,9.645,3314079508140198528,18.00279,21.428,66.07108000000001,0.026000000000000002
Hyades,6.78,3314212068010812032,17.86303,21.316,67.37694,0.032
Hyades,14.009,3314137846679343872,17.66435,20.932,68.03365,0.011000000000000001
Hyades,8.731,3314213025787054592,17.89304,21.844,67.38218,0.017
Hyades,7.686,3314109916508904064,17.28535,21.476,67.20173,0.045
Hyades,12.925999999999998,3281410509417809152,4.43674,23.594,70.44532,0.019
Hyades,10.390999999999998,3281064262038614912,3.63639,22.138,71.57871,0.01
Hyades,15.614,153453550785049984,25.94229,20.803,72.82891,0.031
Hyades,17.253,3411856775094435968,20.86188,18.03,72.09392,0.06
Hyades,16.066,3411781729134007424,20.44591,16.255,72.1243,0.044000000000000004
Hyades,15.267999999999999,3411758128287351808,21.363889999999998,16.754,73.8122,0.005
Hyades,13.155,3411811317161811328,20.625629999999997,22.08,72.56987,0.02
Hyades,16.067,3409356726172456960,18.028270000000003,16.748,70.1379,0.045
Hyades,4.555,3409207536188836352,21.589779999999998,18.572,75.77426,0.067
Hyades,13.782,3409290995993067648,17.693839999999998,19.374000000000002,70.57881,0.021
Hyades,14.569,3409379060002199168,17.85298,17.067,71.11854,0.006999999999999999
Hyades,16.893,3391904178104504704,14.25305,25.633000000000003,77.21495,0.055
Hyades,13.629000000000001,57406365376348928,20.42391,28.061999999999998,54.780559999999994,0.016
Hyades,13.773,3287167277423046272,7.9457699999999996,19.809,67.03373,0.021
Hyades,13.44,3287041726938931968,8.06775,28.855,66.32119,0.046
Hyades,15.802,3407113241415669120,18.14773,19.819000000000003,75.88646999999999,0.085
Hyades,8.62,3407121831350730112,17.81628,18.6,76.57525,0.004
Hyades,16.339000000000002,3413082661841179520,22.66333,19.314,71.85126,0.039
Hyades,15.193,3288997483247358592,7.3707199999999995,17.385,71.97558000000001,0.019
Hyades,13.589,3288876846205650816,6.75007,22.491,71.53872,0.025
Hyades,10.689,3288784006192725248,6.4532300000000005,24.647,71.82758000000001,0.022000000000000002
Hyades,11.814,3299573475139651584,9.20539,22.276,65.96179000000001,0.022000000000000002
Hyades,5.311,3294081521934473216,11.14607,22.304000000000002,71.10805,0.11
Hyades,13.864,3294248609046258048,10.9944,20.257,70.25765,0.015
Hyades,14.677,65502206932420224,23.38526,22.398000000000003,59.8615,0.013999999999999999
Hyades,9.775,50327297200978176,19.45487,20.811,60.913230000000006,0.032
Hyades,10.834000000000001,50298125783225088,19.44201,21.144000000000002,61.357519999999994,0.013000000000000001
Hyades,15.07,50248991357476736,18.99561,18.721,61.05386,0.023
Hyades,14.704,50427387118457984,19.41,20.853,60.0655,0.052000000000000005
Hyades,14.796,50327361624037120,19.45584,20.755,60.912380000000006,0.179
