TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
394137592,120.01,,3,5,5,3,4,4,4,,KP,CP,7.1062,0.006,,1,spoc,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.040999999999999995,2458332.082764,0.0007070000000000001,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90625,2389.90625,12.215808,1.480912,,,32.900002,79.5702,0.17345,5479.299805,57.0,3.77,0.08,2.48771,0.29839899999999997,-0.02,0.09,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2019-12-17 10:00:02,
231702397,122.01,,2,4,4,2,2,3,4,5.0,PC,,13.084000000000001,0.006999999999999999,,1,spoc,22:11:47.58,-58:56:45.91,138.138,0.08900000000000001,-235.81,0.076,2458329.12146,0.0023079999999999997,5.0776769999999996,0.000878,1.155359,0.44779300000000005,7.082388000000001,0.848326,6501.890625,6501.890625,2.386458,1.250847,6.4579580000000005,406.577698,0.940471,62.118,0.2158,3318.0,64.0,4.9581,0.407256,0.294,0.051,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,Small star with a small planet candidate
290131778,123.01,,3,5,5,5,4,5,3,5.0,PC,CP,7.87598,0.011000000000000001,,1,spoc,21:18:47.9,-26:36:58.95,23.236,0.157,-57.556999999999995,0.152,2458325.37561,0.00047300000000000006,3.308754,0.000101,5.634728,0.031274,3.455018,0.030543999999999998,3177.131836,3177.131836,7.723223,7.723462,1078.91748,1461.72876,0.920341,161.498,2.4235,6188.0,194.0,4.27166,2.0058599999999998,1.31887,1.31887,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
52368076,125.01,,1,5,5,5,4,1,2,4.0,PC,CP,10.1985,0.006,,1,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458327.432861,0.0018789999999999998,4.653811,0.00028900000000000003,2.921928,0.288457,1.094846,0.054923,1007.8824460000001,1007.8824460000001,2.863905,1.0990360000000001,188.107544,944.5420529999999,17.438063,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.8992700000000001,0.116155,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
52368076,125.02,,2,5,5,5,4,4,2,5.0,PC,CP,10.1985,0.006,,2,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458334.456665,0.002132,9.150607,0.00073,2.907668,0.380794,1.08213,0.066853,996.181824,996.181824,2.8612439999999997,1.371003,76.380043,753.988525,14.804295999999999,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.8992700000000001,0.116155,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:38,2020-01-16 02:34:07,second planet (125.02)
52368076,125.03,,1,4,1,5,4,4,1,5.0,PC,,10.1985,0.006,,3,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458342.851807,0.003286,19.981867,0.004595,2.991231,0.720831,1.1365040000000002,0.121919,1046.211182,1046.211182,2.899664,2.6961209999999998,26.945604,581.0877690000001,10.261628,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.8992700000000001,0.116155,,,"1,2",2018-10-19 23:49:42,2019-12-17 15:43:38,2020-01-16 02:34:07,period is likely correct but possibly two independent single transits
70440470,126.01,,4,5,5,5,5,5,4,5.0,PC,KP,12.7923,0.006,,1,spoc,22:37:57.43,-35:09:15.13,-9.326,0.040999999999999995,-50.141999999999996,0.045,2458326.731079,0.0009480000000000001,3.035381,0.00020299999999999997,2.8867220000000002,0.077295,18.329992999999998,0.362193,16740.835938,16740.835938,15.044467000000001,15.047709,718.651245,1320.533081,0.860842,573.0269999999999,11.687999999999999,5751.0,189.0,4.35036,,1.12237,1.12237,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
234523599,127.01,,5,5,5,5,4,5,5,5.0,KP,CP,14.1266,0.006999999999999999,,1,spoc,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.650146,0.0005650000000000001,3.795609,6.9e-05,2.042805,0.043230000000000005,61.846913,0.8725719999999999,55371.085938,55371.085938,23.750977,0.342044,54.25058000000001,692.182861,58.1628,140.225,0.86,3424.0,,4.438,,1.0,,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
391949880,128.01,,1,5,5,1,4,4,4,2.0,PC,,7.9849,0.006,,1,spoc,05:18:05.03,-80:57:51.78,-49.146,0.042,45.306999999999995,0.046,2458328.129395,0.001912,4.940663,0.000654,2.202493,0.27821399999999996,0.432821,0.030868,398.563171,398.563171,2.766351,0.9430719999999999,596.283936,1260.326416,16.0,68.4727,0.11900000000000001,6086.0,193.0,4.26269,0.26143,1.3075,0.145464,,,1,2018-09-05 18:34:19,2019-12-17 15:43:39,2020-01-16 02:34:07,There is a nearby (2
201248411,129.01,,3,5,5,3,2,4,4,,PC,,9.9005,0.006,,1,spoc,00:00:44.55,-54:49:50.96,-202.815,0.031,-71.518,0.028999999999999998,2458354.552368,0.000149,0.980981,1e-05,0.743316,0.014155000000000001,7.657951,0.131193,7028.41748,7028.41748,9.218136999999999,2.036007,,,108.864296,61.7856,0.0805,4486.0,175.0,4.499140000000001,0.33879699999999996,0.782459,0.124009,,,2,2018-09-05 18:34:18,2019-12-17 15:43:32,2019-12-17 10:00:02,TOI 129.01
